code,level,classificationName,
2670,4,"Tillverkning av optiska instrument, magnetiska och optiska medier samt fotoutrustning",
26700,5,"Tillverkning av optiska instrument, magnetiska och optiska medier samt fotoutrustning",
27,2,Tillverkning av elapparatur,
271,3,"Tillverkning av elmotorer, generatorer och transformatorer samt eldistributions- och elkontrollapparater",
2711,4,"Tillverkning av elmotorer, generatorer och transformatorer",
27110,5,"Tillverkning av elmotorer, generatorer och transformatorer",
2712,4,Tillverkning av eldistributions- och elkontrollapparater,
27120,5,Tillverkning av eldistributions- och elkontrollapparater,
272,3,Batteri- och ackumulatortillverkning,
2720,4,Batteri- och ackumulatortillverkning,
27200,5,Batteri- och ackumulatortillverkning,
